trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-110.13811403260553,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,0,-16.59049901377317,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,0,-21.519337510994827,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-10.729482847510292,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,6,0.5278207831277588,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.94}",20,0,20.288268653983746,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-48.192811181190834,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,28.435402534134834,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,5,0.290769704258794,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,32.099281932010044,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,11,30.935338337753027,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,1,27.90751182069907,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,31.46245108582392,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,36.42908727761939,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,27.09611890255049,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,16.789394726086098,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,0,36.720977904598634,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,3,32.97005310032013,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",30,0,39.64132471942771,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,8,28.199423344940637,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,33.637220630434165,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,8,20.682555557073563,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,33.04475944131799,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,30.852052576367395,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
